"filename", "language", "HTML", "JavaScript", "CSS", "PHP", "XML", "SCSS", "JSON", "comment", "blank", "total"
"c:\xampp\htdocs\covid-IT\Homepage\assets\scss\_syntax.scss", "SCSS", 0, 0, 0, 0, 0, 73, 0, 1, 5, 79
"c:\xampp\htdocs\covid-IT\Homepage\assets\scss\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 10, 0, 5, 3, 18
"c:\xampp\htdocs\covid-IT\Homepage\assets\scss\docs.scss", "SCSS", 0, 0, 0, 0, 0, 22, 0, 26, 5, 53
"c:\xampp\htdocs\covid-IT\Homepage\colori.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 4, 17
"c:\xampp\htdocs\covid-IT\Homepage\css\bootstrap-grid.css", "CSS", 0, 0, 3681, 0, 0, 0, 0, 7, 211, 3899
"c:\xampp\htdocs\covid-IT\Homepage\css\bootstrap-grid.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\covid-IT\Homepage\css\bootstrap-reboot.css", "CSS", 0, 0, 264, 0, 0, 0, 0, 8, 55, 327
"c:\xampp\htdocs\covid-IT\Homepage\css\bootstrap-reboot.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 7, 0, 8
"c:\xampp\htdocs\covid-IT\Homepage\css\bootstrap.css", "CSS", 0, 0, 9016, 0, 0, 0, 0, 7, 1201, 10224
"c:\xampp\htdocs\covid-IT\Homepage\css\bootstrap.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\covid-IT\Homepage\grafico.js", "JavaScript", 0, 96, 0, 0, 0, 0, 0, 0, 7, 103
"c:\xampp\htdocs\covid-IT\Homepage\home.js", "JavaScript", 0, 86, 0, 0, 0, 0, 0, 0, 16, 102
"c:\xampp\htdocs\covid-IT\Homepage\homepage.html", "HTML", 119, 0, 0, 0, 0, 0, 0, 6, 4, 129
"c:\xampp\htdocs\covid-IT\Homepage\js\bootstrap.bundle.js", "JavaScript", 0, 4586, 0, 0, 0, 0, 0, 1375, 1174, 7135
"c:\xampp\htdocs\covid-IT\Homepage\js\bootstrap.bundle.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\covid-IT\Homepage\js\bootstrap.js", "JavaScript", 0, 3347, 0, 0, 0, 0, 0, 325, 850, 4522
"c:\xampp\htdocs\covid-IT\Homepage\js\bootstrap.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\covid-IT\Homepage\sketch.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 0, 21, 75
"c:\xampp\htdocs\covid-IT\Homepage\stile.css", "CSS", 0, 0, 268, 0, 0, 0, 0, 11, 71, 350
"Total", "-", 119, 16728, 26462, 170, 60, 2196, 44, 3956, 7807, 57542
